allmb_name	gbif_species_key	domestication	progenitor_of
Zea_mays	5290052	2	
Zea_mays_subsp._mexicana	5290049	1	Zea_mays
Zea_mays_subsp._parviglumis	5678457	1	Zea_mays
Oryza_sativa	2703459	2	
Oryza_rufipogon	2703463	1	Oryza_sativa
Sorghum_bicolor	2705181	2	
Sorghum_arundinaceum	4108497	1	Sorghum_bicolor
Eragrostis_tef	2705325	2	
Eragrostis_pilosa	2705400	1	Eragrostis_tef
Eleusine_coracana_subsp._coracana	2705957	2	
Eleusine_coracana_subsp._africana	4124350	1	Eleusine_coracana
Hordeum_vulgare_subsp._vulgare	2706056	2	
Hordeum_vulgare_subsp._spontaneum	2706075	1	Hordeum_vulgare
Triticum_aestivum	7795888	2	
Triticum_urartu	2706411	1	Triticum_aestivum
Aegilops_speltoides	5289790	1	Triticum_aestivum
Triticum_dicoccoides	4932502	1	Triticum_aestivum
Aegilops_tauschii	5289779	1	Triticum_aestivum
Secale_cereale	2705966	2	
Secale_vavilovii	4121006	1	Secale_cereale
Manihot_esculenta	3060998	2	
Manihot_esculenta_subsp._flabellifolia	3061012	1	Manihot_esculenta
Solanum_tuberosum_subsp._andigenum	2930262	2	
Solanum_bukasovii_f._multidissectum	7299615	1	Solanum_tuberosum
Ipomoea_batatas	2928551	2	
Ipomoea_trifida	4267463	1	Ipomoea_batatas
Colocasia_esculenta	5330776	2	
Colocasia_lihengiae	5330771	1	Colocasia_esculenta
Colocasia_yunnanensis	5330819	1	Colocasia_esculenta
Colocasia_formosana	5330763	1	Colocasia_esculenta
Dioscorea_cayennensis_subsp._rotundata	2755105	2	
Dioscorea_cayennensis	6406374	1	Dioscorea_rotundata
Dioscorea_praehensilis	2754460	1	Dioscorea_rotundata
Dioscorea_abyssinica	2754610	1	Dioscorea_rotundata
Dioscorea_cayennensis	6406374	2	
Dioscorea_minutiflora	2755468	1	Dioscorea_cayennensis
Dioscorea_alata	2754476	2	
Dioscorea_hamiltonii	2754651	1	Dioscorea_alata
Dioscorea_persimilis	2754654	1	Dioscorea_alata
Dioscorea_polystachya	2754732	3	
Dioscorea_bulbifera	2755489	3	
Dioscorea_esculenta	2755195	3	
Dioscorea_dumetorum	2754673	3	
Dioscorea_trifida	2755239	3	
Musa_champa	2762752	2	
Musa_acuminata_subsp._truncata	2762680	1	Musa_x_paradisiaca
Musa_acuminata_AAAA_Group	2762680	1	Musa_x_paradisiaca
Musa_acuminata_var._rutilipes	2762680	1	Musa_x_paradisiaca
Musa_acuminata_var._nakaii	2762680	1	Musa_x_paradisiaca
Musa_acuminata_var._flava	2762680	1	Musa_x_paradisiaca
Musa_acuminata_var._alasensis	2762680	1	Musa_x_paradisiaca
Musa_acuminata_var._zebrina	2762680	1	Musa_x_paradisiaca
Musa_acuminata_subsp._siamea	2762680	1	Musa_x_paradisiaca
Musa_acuminata_subsp._malaccensis	2762680	1	Musa_x_paradisiaca
Musa_acuminata_subsp._microcarpa	2762680	1	Musa_x_paradisiaca
Musa_acuminata_AAA_Group	2762680	1	Musa_x_paradisiaca
Musa_acuminata_subsp._errans	2762680	1	Musa_x_paradisiaca
Musa_balbisiana_BBB_Group	2762950	1	Musa_x_paradisiaca
Musa_balbisiana_var._balbisiana	2762950	1	Musa_x_paradisiaca
Ensete_ventricosum	2763050	3	
Fagopyrum_esculentum	2889373	2	
Fagopyrum_esculentum_subsp._ancestrale	4036222	1	Fagopyrum_esculentum
Fagopyrum_tataricum	2889378	2	
Fagopyrum_tataricum_subsp._potanini		1	Fagopyrum_tataricum
Arachis_hypogaea_var._vulgaris	5353770	2	
Arachis_hypogaea_var._aequatoriana	5353770	2	
Arachis_hypogaea_var._hirsuta	5353770	2	
Arachis_hypogaea_var._hypogaea	5353770	2	
Arachis_hypogaea_var._peruviana	5353770	2	
Arachis_duranensis	5353841	1	Arachis_hypogaea
Arachis_ipaensis	5353793	1	Arachis_hypogaea
Cucurbita_argyrosperma	7156471	2	
Cucurbita_argyrosperma_subsp._sororia	3623807	1	Cucurbita_argyrosperma
Cucurbita_ficifolia	2874512	3	
Cucurbita_maxima	7655426	2	
Cucurbita_maxima_subsp._andreana	4939874	1	Cucurbita_maxima
Cucurbita_moschata	7393329	3	
Cucurbita_pepo	2874508	2	
Cucurbita_pepo_subsp._fraterna	4939873	1	Cucurbita_pepo
Artocarpus_altilis	2984573	2	
Artocarpus_camansi	3765081	1	Artocarpus_altilis
Artocarpus_mariannensis	8282919	1	Artocarpus_altilis
Mangifera_indica	3190638	2	
Mangifera_sylvatica	3662046	1	Mangifera_indica
Cocos_nucifera	2735117	3	
Phoenix_dactylifera	6109699	2	
Phoenix_sylvestris	5293177	1	Phoenix_dactylifera
Metroxylon_sagu	2733781	3	